timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603281812947,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812951,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812951,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,1
1603281812956,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812957,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812962,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812962,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812967,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812967,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812972,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812972,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812977,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812977,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812982,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812982,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812986,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812987,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812991,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812991,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281812996,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281812996,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281813001,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281813001,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,0
1603281813006,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281813006,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,1
1603281813011,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281813011,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,1
1603281813016,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281813016,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281813020,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281813021,4,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,4,0,0
1603281813025,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281813025,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,1
1603281813030,0,check jmeter variables for auth_token,200,OK,Ultimate Thread Group(ToDoList) 1-1,text,true,,346,0,1,1,null,0,0,0
1603281813030,5,Read lists,200,,Ultimate Thread Group(ToDoList) 1-1,text,true,,3888,157,1,1,http://localhost:8901/todolists/viewAll,5,0,1
